id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
8501520,44764833,Ute,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.495041,13.419550,Private room,45.000000,1,37,1,289
21160317,13593724,Ute,Charlottenburg-Wilm.,Grunewald,52.489079,13.294398,Entire home/apt,45.000000,90,0,3,279
2683888,13738495,Utz,Tempelhof - Schöneberg,Schöneberg-Nord,52.488789,13.369205,Private room,45.000000,4,6,1,350
15395519,98473846,Uwe,Tempelhof - Schöneberg,Tempelhof,52.457603,13.383591,Private room,45.000000,1,43,1,65
28606425,215898210,Vera,Charlottenburg-Wilm.,Kantstraße,52.508438,13.314971,Entire home/apt,45.000000,10,8,1,36
1162720,6368692,Verena,Tempelhof - Schöneberg,Schöneberg-Nord,52.499901,13.356832,Private room,45.000000,5,17,1,311
7050004,6027393,Veronika,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497906,13.443316,Private room,45.000000,7,4,1,0
27073537,19556851,Veza,Neukölln,Reuterstraße,52.485413,13.433866,Private room,45.000000,3,2,1,20
14288423,11386078,Victor,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.517750,13.452877,Private room,45.000000,4,2,1,0
20223150,38354990,Victoria,Neukölln,Reuterstraße,52.487873,13.430523,Private room,45.000000,2,4,1,0
22241521,61053385,Victoria,Pankow,Prenzlauer Berg Süd,52.534981,13.430368,Entire home/apt,45.000000,4,1,1,0
22418147,58757243,Vik,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.507702,13.470153,Entire home/apt,45.000000,5,1,1,0
16435947,28464768,Viktor,Pankow,Prenzlauer Berg Nord,52.543808,13.440887,Private room,45.000000,1,108,1,11
23530677,175790133,Viktor,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.510574,13.454327,Entire home/apt,45.000000,1,0,1,28
1721125,9072811,Viktoria,Mitte,Brunnenstr. Süd,52.536522,13.397971,Entire home/apt,45.000000,2,4,1,301
18672607,59913112,Vilius,Mitte,Brunnenstr. Nord,52.543007,13.371289,Entire home/apt,45.000000,4,2,1,0
9186093,43084245,Villads,Neukölln,Rixdorf,52.479294,13.448421,Entire home/apt,45.000000,1,3,1,0
700806,3595382,Vincent,Tempelhof - Schöneberg,Schöneberg-Nord,52.491676,13.368972,Private room,45.000000,3,123,1,54
15156236,49480576,Vincenzina,Charlottenburg-Wilm.,Düsseldorfer Straße,52.498615,13.336991,Entire home/apt,45.000000,90,6,2,320
25485421,192343190,Vittoria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.495815,13.434291,Private room,45.000000,2,20,1,28
14713928,33993187,Vivien,Tempelhof - Schöneberg,Schöneberg-Süd,52.485348,13.342084,Private room,45.000000,2,12,1,0
18401634,127467474,Vlady,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.506657,13.469888,Private room,45.000000,3,55,1,337
380384,1908382,Volker,Reinickendorf,Nord 1,52.627087,13.285059,Entire home/apt,45.000000,30,12,1,0
2806032,14353408,Volker,Steglitz - Zehlendorf,Zehlendorf  Nord,52.442032,13.239968,Private room,45.000000,5,0,1,363
28007531,91960715,Wael,Lichtenberg,Karlshorst,52.479053,13.528473,Private room,45.000000,1,16,1,18
20259941,86163267,Walter,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489407,13.417443,Entire home/apt,45.000000,8,0,1,1
20734238,82038375,Werner,Tempelhof - Schöneberg,Schöneberg-Süd,52.483479,13.361997,Entire home/apt,45.000000,5,0,1,0
8266080,925534,Wolfgang,Mitte,Moabit Ost,52.526237,13.349344,Private room,45.000000,4,41,1,321
28104081,212293044,Wolfgang,Pankow,Prenzlauer Berg Südwest,52.538040,13.415017,Entire home/apt,45.000000,3,5,1,3
17409,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.529072,13.412844,Private room,45.000000,3,279,1,42
28732723,24930281,Wula,Pankow,Weißensee,52.548687,13.448582,Entire home/apt,45.000000,6,0,1,0
15247571,96957095,Xenia,Lichtenberg,Alt-Hohenschönhausen Süd,52.540039,13.483006,Entire home/apt,45.000000,2,89,5,0
15338484,96957095,Xenia,Lichtenberg,Alt-Hohenschönhausen Süd,52.539955,13.484726,Entire home/apt,45.000000,2,83,5,0
10485258,3283542,Yarin,Treptow - Köpenick,Alt  Treptow,52.489220,13.452040,Entire home/apt,45.000000,1,0,1,0
19814355,1112419,Yasmin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.510990,13.467179,Private room,45.000000,2,83,1,56
10384587,12413014,Yassin&,Pankow,Prenzlauer Berg Ost,52.530647,13.448200,Private room,45.000000,5,7,4,354
27629634,37209638,Yess,Steglitz - Zehlendorf,Albrechtstr.,52.447948,13.352072,Private room,45.000000,1,2,1,114
23624766,85539820,Yorick,Tempelhof - Schöneberg,Schöneberg-Nord,52.489964,13.363276,Entire home/apt,45.000000,6,17,1,260
17544355,114511454,Yu,Neukölln,Neuköllner Mitte/Zentrum,52.470654,13.438069,Private room,45.000000,3,3,3,0
15218516,96702548,Zadie,Tempelhof - Schöneberg,Schöneberg-Nord,52.497295,13.360969,Private room,45.000000,1,2,1,0
29751262,59749498,Zee,Treptow - Köpenick,Oberschöneweide,52.458305,13.532961,Private room,45.000000,1,0,1,51
6858338,1266975,Zoltan,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.500347,13.435187,Entire home/apt,45.000000,7,0,1,0
761453,4013797,Zsa,Mitte,Moabit Ost,52.534901,13.347858,Private room,45.000000,2,35,1,364
19747389,1035251,Zuzanna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.526169,13.451691,Private room,45.000000,3,3,2,0
19177015,1425336,A. Franziska,Pankow,Prenzlauer Berg Nord,52.551773,13.415079,Private room,46.000000,1,1,1,0
19747254,40931798,Aaron,Mitte,Moabit Ost,52.528904,13.353954,Private room,46.000000,2,3,1,0
13920808,38783931,Alexander,Mitte,Brunnenstr. Nord,52.551018,13.379501,Private room,46.000000,4,0,2,0
25039925,131496623,Alexia,Pankow,Prenzlauer Berg Südwest,52.540714,13.407685,Entire home/apt,46.000000,3,0,1,0
21696562,6542681,Andrea,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.512100,13.460814,Private room,46.000000,2,3,1,112
20495010,59859060,Andreas,Mitte,Moabit West,52.532845,13.327954,Entire home/apt,46.000000,40,10,1,0
2459679,12576268,Angeliki,Tempelhof - Schöneberg,Schöneberg-Süd,52.487915,13.350379,Private room,46.000000,2,29,1,340
19665433,138469409,Anke,Mitte,Brunnenstr. Nord,52.538181,13.396050,Private room,46.000000,3,5,1,4
4170139,21639751,Anna,Pankow,Prenzlauer Berg Nordwest,52.547958,13.405760,Private room,46.000000,2,7,1,0
229776,956350,Arne,Mitte,Alexanderplatz,52.528339,13.406338,Private room,46.000000,3,106,1,236
6218718,32251683,Astrid,Spandau,Gatow / Kladow,52.484928,13.184526,Entire home/apt,46.000000,62,4,2,364
6468633,1316194,Baerbel,Reinickendorf,Ost 1,52.567268,13.369199,Entire home/apt,46.000000,45,18,2,244
8083550,42694217,Caren,Treptow - Köpenick,Alt  Treptow,52.488926,13.446158,Entire home/apt,46.000000,1,7,1,0
7598752,2425660,Carla,Mitte,Parkviertel,52.551575,13.348017,Entire home/apt,46.000000,2,8,2,0
27014280,203251412,Cem,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.503113,13.410669,Private room,46.000000,4,13,1,27
18281127,41894209,Charlene,Neukölln,Neuköllner Mitte/Zentrum,52.476166,13.433414,Entire home/apt,46.000000,5,17,1,6
984052,5390033,Charlottenburg,Charlottenburg-Wilm.,Kantstraße,52.511276,13.307727,Entire home/apt,46.000000,60,67,1,95
8306513,33715547,Christin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.520039,13.448619,Entire home/apt,46.000000,4,2,1,0
175667,839532,Christina,Tempelhof - Schöneberg,Schöneberg-Süd,52.491379,13.343315,Entire home/apt,46.000000,60,8,2,309
28626353,216023187,Daniel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.516644,13.431603,Private room,46.000000,3,2,1,47
268910,1408921,Dieter,Treptow - Köpenick,Altglienicke,52.417057,13.542466,Entire home/apt,46.000000,3,16,1,158
17526368,94218278,Dima,Charlottenburg-Wilm.,Kurfürstendamm,52.504803,13.308953,Entire home/apt,46.000000,1,8,1,0
5841808,30266725,Dirk,Tempelhof - Schöneberg,Schöneberg-Süd,52.484901,13.363641,Private room,46.000000,2,19,2,0
7353203,38530240,Eliane,Lichtenberg,Alt-Lichtenberg,52.533237,13.509550,Entire home/apt,46.000000,2,13,1,0
1290566,7017828,Ernest Allan,Mitte,Brunnenstr. Süd,52.535160,13.395879,Private room,46.000000,6,20,1,43
21124631,123603600,Ezgy,Tempelhof - Schöneberg,Mariendorf,52.440269,13.388219,Private room,46.000000,1,3,2,90
4818718,5237673,Fabian,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.495571,13.426176,Private room,46.000000,3,0,1,0
6568956,30887515,Florian,Neukölln,Schillerpromenade,52.473522,13.425020,Private room,46.000000,2,170,1,297
14934373,9172205,Frank,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490818,13.393946,Private room,46.000000,2,59,1,342
7631523,20840341,Haakon,Pankow,Prenzlauer Berg Süd,52.532440,13.421620,Private room,46.000000,1,1,1,0
12747792,4075547,Heather,Pankow,Prenzlauer Berg Südwest,52.536011,13.420377,Private room,46.000000,2,5,1,0
22729040,167756275,Ilka & Peter,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.421562,13.152781,Entire home/apt,46.000000,2,2,1,110
21919986,159938913,Irantzu,Mitte,Regierungsviertel,52.512215,13.399088,Entire home/apt,46.000000,4,0,1,0
18715171,9145104,Itai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509048,13.455418,Entire home/apt,46.000000,3,4,1,0
6642770,17805595,Jan Benjamin,Pankow,Prenzlauer Berg Ost,52.534500,13.441335,Entire home/apt,46.000000,60,8,1,33
14234601,86551352,Janine,Neukölln,Neuköllner Mitte/Zentrum,52.464817,13.443460,Entire home/apt,46.000000,4,25,1,12
29093580,209203249,Janna,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.506050,13.400020,Entire home/apt,46.000000,7,0,1,23
236552,1240184,Jessica,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497307,13.429809,Private room,46.000000,1,277,1,79
13070307,992535,Jo,Neukölln,Reuterstraße,52.483490,13.440995,Private room,46.000000,2,5,1,0
18067902,9419542,Joanna,Mitte,Alexanderplatz,52.505764,13.416941,Private room,46.000000,2,12,1,286
27654864,21274716,John,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511620,13.469145,Private room,46.000000,3,2,1,66
2674929,13451007,Julia,Tempelhof - Schöneberg,Lichtenrade,52.386627,13.388687,Entire home/apt,46.000000,1,136,1,305
2044887,405844,Julian,Pankow,Prenzlauer Berg Nordwest,52.546902,13.405091,Entire home/apt,46.000000,5,126,2,58
9763680,3404672,Julie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.508041,13.458038,Private room,46.000000,2,121,1,338
13798286,81123292,Klaus,Tempelhof - Schöneberg,Schöneberg-Nord,52.493252,13.368394,Private room,46.000000,3,49,1,163
22287243,116505712,Lea,Charlottenburg-Wilm.,Schloß Charlottenburg,52.515701,13.289391,Entire home/apt,46.000000,4,5,1,0
18683753,25123378,Leonora,Charlottenburg-Wilm.,Neue Kantstraße,52.500851,13.306891,Entire home/apt,46.000000,92,0,1,252
10030787,8239064,Lilian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.491119,13.393321,Entire home/apt,46.000000,6,3,1,21
22205307,67701450,Lilli,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510319,13.447540,Entire home/apt,46.000000,8,0,1,0
25417181,27574383,Lucas,Mitte,Wedding Zentrum,52.542076,13.350099,Private room,46.000000,2,1,2,0
27549302,155906168,Marcella,Pankow,Prenzlauer Berg Ost,52.534382,13.436619,Entire home/apt,46.000000,4,7,2,33
27156615,203313206,Margret,Mitte,Osloer Straße,52.556644,13.377715,Private room,46.000000,3,0,5,62
19651646,735149,Martin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.503365,13.429390,Entire home/apt,46.000000,7,3,1,0
21941079,115360418,Melanie,Tempelhof - Schöneberg,Tempelhof,52.468102,13.378654,Entire home/apt,46.000000,4,10,1,0
